_id,sum_app_opens,no_of_days,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,no_of_matches,no_of_msgs_sent,no_of_msgs_received,swipe_likes,swipe_passes,birthDate,ageFilterMin,ageFilterMax,cityName,country,createDate,education,gender,interestedIn,instagram,spotify,jobTitle,user_age
00b74e27ad1cbb2ded8e907fcc49eaaf,6839,477,739,133,684,8.56,10.24,3,0.0811342592592592,226,30.58,66,3408,3360,3261,23341,24229,1976-01-01,21,35,Trondheim,Norway,2016-01-01,Has high school and/or college education,M,F,False,False,unknown,40
024610702baf540af5637873cd1534e9,26280,1197,464,36,622,4.5,3.97,2,6.94444444444444E-05,56,12.07,16,888,2088,1509,45068,49559,1997-07-04,18,29,Richmond,USA,2016-07-12,Has high school and/or college education,M,F,False,False,unknown,19
0a5e3dd8489fe67485ddb7d6adb26ebd,3196,249,303,33,295,4.25,3.47,2,0.0337152777777777,106,34.98,17,548,1291,1152,6679,5500,1998-02-06,20,24,unknown,unknown,2019-07-01,Has no high school or college education,M,F,False,False,unknown,21
048dd37565ad9cbc24c163ffedffbf58,2077,158,47,28,130,7.89,5.88,6,0.643726851851852,3,6.38,0,94,371,224,6724,7899,1998-02-24,20,25,Edmonton,Canada,2019-09-25,Has no high school or college education,M,F,False,False,unknown,21
0eb998fdde77f9c123c07eace18a5cc1,11946,715,809,444,198,6.82,1.92,3,0.0917708333333333,296,36.59,13,1905,5527,6052,60169,96673,1996-11-10,18,27,unknown,unknown,2017-11-17,Has no high school or college education,M,F,True,False,Research Assistant,21
10a8c197447a3991d64136b315d6e87e,2930,366,122,808,98,22.69,2.7,5,0.246412037037037,30,24.59,4,203,2265,2246,22552,5477,1994-04-16,30,50,Mexico City,Mexico,2014-03-06,Has high school and/or college education,M,F,False,False,False,19
1a6bc90a124bed79741b441929c4d365,7368,477,258,133,533,10.13,15.82,3,0.099386574074074,75,29.07,27,3295,3460,3164,25138,22748,1976-01-01,21,35,Boston,USA,2016-01-01,Has high school and/or college education,F,M,False,False,False,40
1c2f3d5f9d2ca312136fdf6e018a177d,1245,90,79,23,17,3.66,1.35,2,0.0075231481481481,34,43.04,1,87,289,207,774,480,1994-02-08,18,35,unknown,unknown,2019-10-06,Has no high school or college education,M,F,False,False,unknown,25
1e74b4cb4b126a8f34b2d9b1fda0a92f,4271,708,663,123,211,8.12,4.41,4,0.0360069444444444,123,18.55,85,1781,2296,3448,4532,115619,1992-12-23,18,1000,unknown,unknown,2014-02-08,Has high school and/or college education,F,M,False,True,unknown,21
2057ea510896a025db5790675c90b7d6,17302,1437,1580,80,1452,4.79,13.64,1,0,498,31.52,297,5075,7538,8674,52133,45064,1995-11-27,23,40,unknown,unknown,2015-11-15,Has high school and/or college education,M,M,True,True,unknown,19
1f4873925d958cab973bc21385bc956e,1441,68,62,161,57,12.6,2.02,2,0.0168518518518518,25,40.32,1,112,798,840,1931,4848,2001-05-18,18,19,Sint-Martens-Latem,Belgium,2019-10-16,Has no high school or college education,M,F,True,False,unknown,18
2fa5e046d9413c4b0060b3c4db72365b,6284,405,295,157,221,14.93,8.87,4,0.320358796296296,73,24.75,1,314,4403,3019,22172,78556,1997-12-12,18,25,Cabramatta,Australia,2019-01-24,Has no high school or college education,M,F,True,True,unknown,21
23dbb328ffd9e2fed0e012b922b7f6b2,88,4,0,0,0,0,0,0,0,0,0,0,4,0,0,278,294,1995-08-13,21,29,unknown,unknown,2020-05-22,Has no high school or college education,M,F,False,False,unknown,24
2930549c4925f1271dea905177e00449,1432,66,5,4,2,2,0.59,1,0,3,60,0,28,10,12,4128,4375,2000-02-28,18,22,unknown,unknown,2020-01-02,Has no high school or college education,M,F,False,False,unknown,19
270ce10926b5753f21f23d1233717384,1266,52,23,103,17,16.26,1.48,7,0.345659722222222,3,13.04,2,97,376,409,1395,33020,2001-08-30,18,22,unknown,unknown,2020-03-31,Has no high school or college education,M,F,False,False,unknown,18
24b34e806295a8d845787297c1701a83,2424,156,2743,404,94,4.68,1.17,2,0.0001041666666666,1257,45.83,82,3801,12922,10040,78469,9204,1994-03-12,18,1000,unknown,unknown,2019-09-23,Has no high school or college education,M,F,False,False,unknown,25
44ad386e4d315e8efc7dd2e6ddb0df15,6644,631,194,38,71,3.96,1.64,1,0,83,42.78,17,306,769,787,14909,42171,1982-02-11,23,43,unknown,unknown,2018-04-30,Has no high school or college education,M,F,False,False,Physician,36
380391c66f76c2f858d393314171b154,2463,27,44,289,17,19.05,1.6,3,0.0897916666666666,9,20.45,1,68,842,695,2826,16202,1992-05-06,23,32,unknown,unknown,2020-05-08,Has no high school or college education,M,F,False,True,unknown,28
41710353e1db856531fde70c26660a19,4401,161,368,183,597,8.47,3.39,3,0.0285416666666666,51,13.86,75,748,3118,3844,1350,36315,1999-06-30,22,27,Newport Beach,USA,2018-05-23,Has no high school or college education,F,M,False,True,unknown,18
4245f5c0db08dd6d55acf3f7ca17b736,330,85,10,15,1,2.4,0.09,1,0,7,70,1,21,24,13,4431,2382,1999-03-23,18,22,unknown,unknown,2019-03-30,Has no high school or college education,M,F,False,False,unknown,20
454113adff582118a15241c378c26b08,6339,312,222,132,152,13.03,3.95,4,0.159606481481482,67,30.18,4,258,2893,2261,8620,30945,1989-12-23,20,35,Indianapolis,USA,2018-09-27,Has no high school or college education,M,F,True,True,unknown,28
532f0eaeccfd3cfc16c3f19c01986d37,6905,477,624,133,533,9.14,10.01,3,0.120416666666667,188,30.13,54,3316,3460,3279,24371,24517,1998-01-01,21,35,Oslo,Norway,2016-01-01,Has high school and/or college education,M,F,False,False,False,18
4f26f7cc49a287a6c05379c899640e66,7464,1262,211,144,91,5.09,2.54,1,0,83,39.34,45,567,783,878,70081,48839,1984-09-14,18,34,unknown,unknown,2013-09-30,Has high school and/or college education,M,F,False,True,Scientist,29
4ad5952d20a1b415d90767f63faa8d35,1379,401,87,76,1281,9.83,21.46,2,0.0002777777777777,7,8.05,33,508,542,426,23990,18315,1995-08-07,20,29,unknown,unknown,2014-06-22,Has high school and/or college education,M,F,False,True,unknown,18
51fc9e218bb9785ef8a6814e282cf8d8,10899,1163,273,76,817,4.62,10.28,2,0.0001504629629629,94,34.43,2,1121,1258,996,32205,68706,1995-07-08,18,1000,unknown,unknown,2016-02-15,Has no high school or college education,M,F,True,True,unknown,20
53f6bdb7eeb0c0eedf8dbf5c271ff887,87103,1051,1387,169,228,4.99,1.78,2,0.0002199074074074,492,35.47,163,6711,6934,7594,46099,114749,1999-11-24,18,1000,unknown,unknown,2017-12-12,Has high school and/or college education,M,F,False,True,unknown,18
